Company Name,Revenue,Margin,Orders,Units,Recency
Customer10570,5438,718,2,3,638
Customer10571,1476,0,1,1,636
Customer10572,1038,23,1,3,633
Customer10573,14127,2439,3,26,1211
Customer10574,20733,5704,1,10,633
Customer10575,2913,94,1,5,643
Customer10576,11763,5101,4,10,1217
Customer10577,2819,749,1,2,615
Customer10578,2275,284,2,2,1150
Customer10579,6265,2887,1,5,656
Customer1058,12374,4326,4,9,2924
Customer10580,28357,9662,9,21,1157
Customer10581,1149,102,1,1,608
Customer10582,590,49,1,1,680
Customer10583,1747,942,1,1,600
Customer10584,4907,340,1,8,637
Customer10585,16056,4707,9,21,1217
Customer10586,1087,297,1,1,669
Customer10587,1613,0,1,1,598
Customer10588,386,9,1,1,669
Customer10589,1593,476,1,1,630
Customer1059,1625,157,1,1,988
Customer10590,807,65,1,1,612
Customer10591,863,135,1,1,656
Customer10592,849,21,1,1,653
Customer10593,1252,205,1,1,616
Customer10594,1389,261,3,3,1202
Customer10595,1361,173,1,1,632
Customer10596,1149,0,1,1,605
Customer10597,1849,253,1,2,608
Customer10598,1852,679,1,1,606
Customer10599,1448,446,1,1,626
Customer106,407164,173475,14,267,4641
Customer1060,540,79,1,1,973
Customer10600,1664,80,1,1,613
Customer10601,3442,763,1,2,627
Customer10602,440,7,1,1,627
Customer10603,1589,598,1,1,605
Customer10604,4521,949,1,4,608
Customer10605,1366,638,1,1,619
Customer10606,37960,6727,8,51,1768
Customer10607,1698,546,1,2,662
Customer10608,2098,741,1,2,606
Customer10609,2650,171,1,2,598
Customer1061,1577,0,1,1,969
Customer10610,4443,0,1,5,599
Customer10611,955,3,1,1,679
Customer10612,2540,0,2,2,618
Customer10613,1389,548,1,1,612
Customer10614,2125,405,1,1,663
Customer10615,736,80,1,1,600
Customer10616,14020,912,1,23,612
Customer10617,1288,77,1,2,601
Customer10618,3489,1079,2,2,1192
Customer10619,1126,319,1,1,629
Customer1062,2330,540,1,1,1024
Customer10620,998,217,1,1,658
Customer10621,1056,52,1,3,682
Customer10622,2280,873,1,2,613
Customer10623,2610,647,1,3,651
Customer10624,43737,14912,6,28,1863
Customer10625,6377,846,2,4,1304
Customer10626,3074,462,1,4,655
Customer10627,586,61,1,1,601
Customer10628,1150,201,1,1,608
Customer10629,865,113,1,1,640
Customer1063,66574,15506,20,57,9923
Customer10630,1198,0,1,1,599
Customer10631,1945,378,1,1,629
Customer10632,1748,545,1,1,606
Customer10633,1111,0,1,1,597
Customer10634,1007,322,1,1,622
Customer10635,6136,1437,5,6,1236
Customer10636,14873,476,1,22,626
Customer10637,1217,229,1,1,630
Customer10638,1160,246,1,2,642
Customer10639,980,94,1,1,623
Customer1064,35518,18712,2,32,1692
Customer10640,1249,411,1,1,629
Customer10641,1082,324,1,1,610
Customer10642,4066,1024,2,3,631
Customer10643,1507,439,1,1,686
Customer10644,1508,180,1,1,644
Customer10645,6071,1952,1,1,622
Customer10646,768,161,1,1,648
Customer10647,887,215,1,1,637
Customer10648,1475,278,1,2,638
Customer10649,1471,315,1,1,607
Customer1065,12194,3777,7,10,3974
Customer10650,1376,136,1,2,681
Customer10651,1576,156,1,1,657
Customer10652,3241,1347,1,1,653
Customer10653,1298,30,1,2,633
Customer10654,1078,291,1,1,672
Customer10655,5783,1240,2,3,1185
Customer10656,1706,0,1,1,596
Customer10657,10240,2371,1,8,627
Customer10658,2592,360,2,2,673
Customer10659,8138,795,1,10,626
Customer1066,18824,5156,12,13,4122
Customer10660,1950,0,1,1,602
Customer10661,2796,280,1,4,615
Customer10662,674,146,1,1,602
Customer10663,1491,167,1,1,645
Customer10664,702,70,1,1,662
Customer10665,881,173,1,1,613
Customer10666,1999,784,1,1,641
Customer10667,1941,0,1,1,596
Customer10668,1173,202,1,1,609
Customer10669,15548,8542,1,13,682
Customer1067,3340,818,2,2,1901
Customer10670,1513,283,1,1,628
Customer10671,769,145,1,1,619
Customer10672,291,0,1,1,612
Customer10673,3535,1260,1,1,600
Customer10674,1393,55,1,1,671
Customer10675,4046,387,2,5,624
Customer10676,12080,1241,2,21,1112
Customer10677,4005,1794,2,4,1207
Customer10678,2941,1005,2,3,638
Customer10679,4394,1079,2,3,636
Customer1068,8009,1770,3,5,2510
Customer10680,3484,1187,2,3,636
Customer10681,1947,140,1,3,628
Customer10682,10941,3867,1,10,676
